id,x,y,tier,cluster
110,0.217506,0.491684,3,0
111,0.208122,0.467193,3,0
112,0.172743,0.486573,3,0
113,0.190079,0.489294,3,0
114,0.209226,0.476257,3,0
115,0.205961,0.489596,3,0
116,0.209685,0.49053,3,0
117,0.200378,0.469708,3,0
118,0.218325,0.498006,3,0
119,0.222573,0.510195,3,0
120,0.210741,0.507288,3,0
121,0.16526,0.492867,3,0
122,0.184047,0.488163,3,0
123,0.212596,0.494689,3,0
124,0.226007,0.531347,3,0
125,0.203794,0.499034,3,0
126,0.194755,0.492405,3,0
127,0.177302,0.474609,3,0
128,0.198826,0.499667,3,0
129,0.205649,0.482837,3,0
130,0.202962,0.466919,3,0
131,0.201165,0.459251,3,0
132,0.209795,0.476629,3,0
133,0.174044,0.499907,3,0
134,0.209944,0.470743,3,0
135,0.184606,0.46682,3,0
136,0.165626,0.492858,3,0
137,0.215331,0.466652,3,0
138,0.188422,0.45939,3,0
139,0.216071,0.478296,3,0
140,0.171526,0.48228,3,0
141,0.169765,0.510324,3,0
142,0.194325,0.485342,3,0
143,0.234321,0.480969,3,0
144,0.200275,0.502504,3,0
145,0.183857,0.505633,3,0
146,0.202178,0.466314,3,0
147,0.205404,0.503393,3,0
148,0.202354,0.523962,3,0
149,0.196275,0.472461,3,0
150,0.184621,0.468747,3,0
151,0.20075,0.498598,3,0
152,0.213501,0.51864,3,0
153,0.195015,0.486591,3,0
154,0.182089,0.49454,3,0
155,0.175818,0.478205,3,0
156,0.216036,0.466292,3,0
157,0.222606,0.517491,3,0
158,0.220043,0.50303,3,0
159,0.174552,0.497494,3,0
160,0.19523,0.528751,3,0
161,0.226336,0.507671,3,0
162,0.201332,0.512035,3,0
163,0.219951,0.516739,3,0
164,0.151425,0.487457,3,0
165,0.220065,0.474357,3,0
166,0.193928,0.492035,3,0
167,0.170583,0.495959,3,0
168,0.204029,0.482487,3,0
169,0.191307,0.50496,3,0
170,0.196413,0.541865,3,0
171,0.217491,0.452027,3,0
172,0.185164,0.48591,3,0
173,0.170513,0.472081,3,0
174,0.204509,0.481138,3,0
175,0.189621,0.505863,3,0
176,0.213188,0.478106,3,0
177,0.178111,0.520389,3,0
178,0.2121,0.49346,3,0
179,0.216109,0.493,3,0
180,0.220662,0.465956,3,0
181,0.214801,0.473998,3,0
182,0.188732,0.485272,3,0
183,0.185961,0.484844,3,0
184,0.201396,0.493356,3,0
185,0.165583,0.488882,3,0
186,0.187273,0.515344,3,0
187,0.186366,0.499571,3,0
188,0.211714,0.503644,3,0
189,0.212044,0.500326,3,0
190,0.176079,0.498401,3,0
191,0.206092,0.515641,3,0
192,0.199393,0.497451,3,0
193,0.165155,0.493894,3,0
194,0.192243,0.457969,3,0
195,0.216808,0.520844,3,0
196,0.209848,0.451224,3,0
197,0.176536,0.479471,3,0
198,0.19918,0.516376,3,0
199,0.171224,0.474218,3,0
200,0.680829,0.505173,3,1
201,0.663718,0.493244,3,1
202,0.7068,0.457365,3,1
203,0.688001,0.477196,3,1
204,0.690504,0.460196,3,1
205,0.703721,0.452724,3,1
206,0.666385,0.463454,3,1
207,0.679164,0.457645,3,1
208,0.70871,0.477445,3,1
209,0.650331,0.504316,3,1
210,0.691073,0.467302,3,1
211,0.703232,0.471549,3,1
212,0.678112,0.452525,3,1
213,0.679428,0.463109,3,1
214,0.651934,0.466216,3,1
215,0.671875,0.468677,3,1
216,0.695651,0.467901,3,1
217,0.678839,0.44852,3,1
218,0.695129,0.474403,3,1
219,0.662381,0.454814,3,1
220,0.685447,0.490562,3,1
221,0.677558,0.487249,3,1
222,0.709853,0.462561,3,1
223,0.672154,0.490075,3,1
224,0.676193,0.469949,3,1
225,0.671443,0.453108,3,1
226,0.655817,0.458948,3,1
227,0.660202,0.474412,3,1
228,0.668374,0.481653,3,1
229,0.679494,0.477066,3,1
230,0.64332,0.476543,3,1
231,0.687614,0.504842,3,1
232,0.688265,0.444784,3,1
233,0.660859,0.506265,3,1
234,0.673416,0.47594,3,1
235,0.65975,0.484751,3,1
236,0.681396,0.457657,3,1
237,0.698831,0.472503,3,1
238,0.721376,0.463784,3,1
239,0.668327,0.483984,3,1
240,0.630288,0.498908,3,1
241,0.635278,0.484739,3,1
242,0.688831,0.474914,3,1
243,0.672296,0.430406,3,1
244,0.667362,0.468118,3,1
245,0.686086,0.495677,3,1
246,0.694032,0.463222,3,1
247,0.647334,0.526149,3,1
248,0.725284,0.462768,3,1
249,0.695204,0.470806,3,1
250,0.691318,0.460885,3,1
251,0.708463,0.481005,3,1
252,0.69257,0.447567,3,1
253,0.646251,0.496756,3,1
254,0.675264,0.489164,3,1
255,0.685868,0.49638,3,1
256,0.648416,0.472892,3,1
257,0.680387,0.465247,3,1
258,0.651088,0.464583,3,1
259,0.688628,0.489203,3,1
260,0.685917,0.478361,3,1
261,0.6876,0.450424,3,1
262,0.642117,0.504031,3,1
263,0.667669,0.468313,3,1
264,0.661809,0.489521,3,1
265,0.704662,0.464347,3,1
266,0.646329,0.461893,3,1
267,0.681473,0.449772,3,1
268,0.685284,0.515071,3,1
269,0.674416,0.464613,3,1
270,0.650561,0.484816,3,1
271,0.699988,0.456223,3,1
272,0.641354,0.496355,3,1
273,0.66315,0.457745,3,1
274,0.679364,0.445752,3,1
275,0.692732,0.472666,3,1
276,0.647386,0.473755,3,1
277,0.707669,0.460371,3,1
278,0.719935,0.504364,3,1
279,0.66786,0.462164,3,1
280,0.638856,0.438004,3,1
281,0.677677,0.528552,3,1
282,0.690142,0.505451,3,1
283,0.702933,0.495515,3,1
284,0.680145,0.512182,3,1
285,0.685417,0.499246,3,1
286,0.677592,0.491411,3,1
287,0.700052,0.467966,3,1
288,0.677625,0.464996,3,1
289,0.695194,0.48039,3,1
290,0.658473,0.48764,3,1
291,0.66799,0.470258,3,1
292,0.667457,0.455872,3,1
293,0.681932,0.485661,3,1
294,0.68287,0.432923,3,1
295,0.663262,0.488526,3,1
296,0.672179,0.463705,3,1
